id,prompt,answer,puzzle_type
2afebbc3,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
85#34 = 8534
20/37 = 17
57#26 = 5726
67#85 = 6785
Now, determine the result for: 18/52",16,Equation Transformation
cd4d7537,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
kovva xtvzuvh xtyhuzl -> queen creates crystal
uvzxfvt tvzqh oaqvt jsllzcv -> teacher reads under village
qtzcga hvvh ufv fsqqva hvxtvu -> dragon sees the hidden secret
Now, decrypt the following text: ufv rshv nsac sbzcsavh",the wise king imagines,Text Encryption
b5aba795,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
13.9 m becomes 22.04
10.86 m becomes 17.22
28.35 m becomes 44.95
Now, convert the following measurement: 40.46 m",64.16,Unit Conversion
34a31822,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01011011 -> 00000000
00101001 -> 00000000
00110110 -> 00000001
01011001 -> 00000000
10101010 -> 00000101
01111101 -> 00000010
10000100 -> 00000000
11100101 -> 00000010
01011110 -> 00000010
01111010 -> 00000001

Now, determine the output for: 11000000",00000000,Bit Manipulation
4407deeb,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
84 -> LXXXIV
38 -> XXXVIII
50 -> L
Now, write the number 37 in the Wonderland numeral system.",XXXVII,Number Base Conversion
42116e6e,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10010011 -> 00000110
10010100 -> 00000010
01110100 -> 00000001
10010001 -> 00000110
01110010 -> 00000001
01001100 -> 00000001
11101101 -> 00000111

Now, determine the output for: 00000010",00000000,Bit Manipulation
5cd4a382,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10100001 -> 00010101
00100011 -> 00110001
10010110 -> 01100100
11110011 -> 00110111
10110100 -> 01000101
10011100 -> 11000100
10101001 -> 10010101
11001101 -> 11010110
11111100 -> 11000111

Now, determine the output for: 11001010",10100110,Bit Manipulation
c23e84e7,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.98s, distance = 137.01 m
For t = 1.98s, distance = 21.66 m
For t = 3.68s, distance = 74.82 m
For t = 1.22s, distance = 8.22 m
Now, determine the falling distance for t = 1.06s given d = 0.5*g*t^2.",6.21,Gravitational Constant
386b6d03,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
47[35 = 2293
82-68 = -85
09[97 = 0117
Now, determine the result for: 79'97",671,Equation Transformation
0ca688d9,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
wbsxtk unvqc ckanh -> knight draws story
kdnkpf cffc sb qabufnpvbu -> turtle sees in wonderland
nvggsk unfvoc ktf xapufb gaaw -> rabbit dreams the golden book
znsbyfcc ckdusfc ktf ydnsadc osnnan -> princess studies the curious mirror
Now, decrypt the following text: wsbx ckdusfc vnadbu zvpvyf",king studies around palace,Text Encryption
